srcname,cpe_vendor,cpe_product,cpe_edition,cpe_lang,cpe_sw_edition,cpe_target_sw,cpe_target_hw,cpe_other
databases/php80-pdo_sqlite,php,php,*,*,*,*,*,*
databases/php80-pdo_sqlite,php_group,php,*,*,*,*,*,*
databases/php80-pgsql,php,php,*,*,*,*,*,*
databases/php80-pgsql,php_group,php,*,*,*,*,*,*
databases/php80-sqlite3,php,php,*,*,*,*,*,*
databases/php80-sqlite3,php_group,php,*,*,*,*,*,*
databases/php81-dba,php,php,*,*,*,*,*,*
databases/php81-dba,php_group,php,*,*,*,*,*,*
databases/php81-mysqli,php,php,*,*,*,*,*,*
databases/php81-mysqli,php_group,php,*,*,*,*,*,*
databases/php81-odbc,php,php,*,*,*,*,*,*
databases/php81-odbc,php_group,php,*,*,*,*,*,*
databases/php81-pdo,php,php,*,*,*,*,*,*
databases/php81-pdo,php_group,php,*,*,*,*,*,*
databases/php81-pdo_dblib,php,php,*,*,*,*,*,*
databases/php81-pdo_dblib,php_group,php,*,*,*,*,*,*
databases/php81-pdo_firebird,php,php,*,*,*,*,*,*
databases/php81-pdo_firebird,php_group,php,*,*,*,*,*,*
databases/php81-pdo_mysql,php,php,*,*,*,*,*,*
databases/php81-pdo_mysql,php_group,php,*,*,*,*,*,*
databases/php81-pdo_odbc,php,php,*,*,*,*,*,*
databases/php81-pdo_odbc,php_group,php,*,*,*,*,*,*
databases/php81-pdo_pgsql,php,php,*,*,*,*,*,*
databases/php81-pdo_pgsql,php_group,php,*,*,*,*,*,*
databases/php81-pdo_sqlite,php,php,*,*,*,*,*,*
databases/php81-pdo_sqlite,php_group,php,*,*,*,*,*,*
databases/php81-pgsql,php,php,*,*,*,*,*,*
databases/php81-pgsql,php_group,php,*,*,*,*,*,*
databases/php81-sqlite3,php,php,*,*,*,*,*,*
databases/php81-sqlite3,php_group,php,*,*,*,*,*,*
databases/php82-dba,php,php,*,*,*,*,*,*
databases/php82-dba,php_group,php,*,*,*,*,*,*
databases/php82-mysqli,php,php,*,*,*,*,*,*
databases/php82-mysqli,php_group,php,*,*,*,*,*,*
databases/php82-odbc,php,php,*,*,*,*,*,*
databases/php82-odbc,php_group,php,*,*,*,*,*,*
databases/php82-pdo,php,php,*,*,*,*,*,*
databases/php82-pdo,php_group,php,*,*,*,*,*,*
databases/php82-pdo_dblib,php,php,*,*,*,*,*,*
databases/php82-pdo_dblib,php_group,php,*,*,*,*,*,*
databases/php82-pdo_firebird,php,php,*,*,*,*,*,*
databases/php82-pdo_firebird,php_group,php,*,*,*,*,*,*
databases/php82-pdo_mysql,php,php,*,*,*,*,*,*
